Direction	Motif_Name	Beta_Est	OddsRatio	Beta_SE	Beta_Z	Beta_Pval	Beta_Padj	Log10Beta	NLog10Padj
Count_Gain	AC0088:ZNF:C2H2_ZF	0.2120654796254836	1.2362288302291609	0.04667281139068111	4.543662001638613	5.528528043544528e-6	2.057659254076632e-5	0.092098867603514	4.68662654226871
Count_Gain	AC0089:ZNF:C2H2_ZF	0.155292086215813	1.1679990677141925	0.04228418153515023	3.6725811066419944	2.4011290631418864e-4	6.682788410248879e-4	0.06744249612677161	3.1750422892453125
Count_Gain	AC0091:ZNF:C2H2_ZF	0.14665230485922112	1.1579512789953057	0.04219625932276315	3.475481173282775	5.099377846241263e-4	0.00132541680383708	0.06369028675875317	2.8776475276581093
Count_Gain	AC0092:ZNF:C2H2_ZF	0.1909564302585696	1.2104067138248649	0.04854751274761024	3.9333926590908503	8.375525030104003e-5	2.545026687891506e-4	0.08293132394523992	3.5943076591648473
Count_Gain	AC0093:ZNF:C2H2_ZF	0.00636353450720102	1.006383824809426	0.03769244435937562	0.16882785437124764	0.8659320481862989	0.9047695320750532	0.00276364792187833	0.04346203261229856
Count_Gain	AC0094:ZNF:C2H2_ZF	-0.17412836915276536	0.8401890363807862	0.04351352663497291	-4.00170665580606	6.288723529649149e-5	1.9582213367075815e-4	-0.0756229898658584	3.708138221686076
Count_Gain	AC0095:E2F:E2F	-0.00635038139988079	0.9936697396574216	0.07691066770006592	-0.08256827810474662	0.9341948255237712	0.9554610491942308	-0.00275793559994927	0.01978701291541735
Count_Gain	AC0096:ZNF:C2H2_ZF	0.0726332699179601	1.0753361064958185	0.04074878292447001	1.7824647683978596	0.07467347163560706	0.11801410467034382	0.03154422832795952	0.9280660840970114
Count_Gain	AC0098:ZNF:C2H2_ZF	0.2565772280387222	1.2924985790757515	0.04437363020497838	5.78220052886131	7.3729744597952844e-9	4.178018860550661e-8	0.11143007431924934	7.379029603844798
Count_Gain	AC0099:ZNF:C2H2_ZF	0.11444342111666536	1.1212492002415846	0.04120330761438718	2.7775299543356207	0.00547737911682798	0.01137053288608845	0.04970214628109785	1.9442191813927772
Count_Gain	AC0100:ZNF:C2H2_ZF	-0.05894895433567287	0.9427548914786046	0.6185145663262132	-0.09530730163043948	0.9240707431947248	0.9494355495079309	-0.02560120558194949	0.0225345111197797
Count_Gain	AC0101:ZBTB:C2H2_ZF	-0.14377492735004677	0.8660826576428082	0.09208228462886506	-1.56137445904527	0.11843542453304567	0.1766901678848456	-0.06244065758416622	0.7527876166061963
Count_Gain	AC0102:ZNF:C2H2_ZF	0.06663184358390692	1.068901882640417	0.06303566920563407	1.0570498326358917	0.2904888451034433	0.3772057642873061	0.02893784198753136	0.4234216791928186
Count_Gain	AC0103:ZBTB:['C2H2_zinc_finger_factors']	-0.07490141747819191	0.9278349501293182	0.06342824978685441	-1.180884191663686	0.23764873212245127	0.3228532451512351	-0.03252927229751053	0.4909948439361925
Count_Gain	AC0104:ZNF:C2H2_ZF	0.08470355661097895	1.088394371554246	0.05878335808366543	1.4409445015104734	0.14960036244375904	0.21731784752222735	0.03678628723372786	0.6629046051929302
Count_Gain	AC0105:EGR/ZNF:C2H2_ZF	0.07981786564248085	1.083089781847688	0.05191735781580172	1.5374023062896942	0.12419482196668322	0.18337686154235625	0.03466445860582458	0.7366554644044503
